,City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name,Weather description
0,0,Hobart,AU,46.0,-42.88,147.33,St Ives Apartments,broken clouds
1,1,Bredasdorp,ZA,53.6,-34.53,20.04,Bredasdorp Country Manor,clear sky
2,2,Fort Nelson,CA,62.6,58.81,-122.7,The Fort Nelson Hotel,moderate rain
3,3,Saldanha,ZA,50.0,-33.01,17.94,Blue Bay Lodge,clear sky
4,4,Fort Saint James,CA,64.71,54.43,-124.25,The View Hotel,light rain
5,5,Leshukonskoye,RU,55.85,64.9,45.76,Gostinitsa Mup Zhkkh,few clouds
6,6,Vestmannaeyjar,IS,52.18,63.44,-20.27,Glamping & Camping,few clouds
7,7,Vardo,NO,58.28,70.37,31.11,Vardø Hotel AS,broken clouds
8,8,Lagoa,PT,72.54,39.05,-27.98,Casa Das Faias,broken clouds
9,9,Dingle,PH,76.68,11.0,122.67,Camp Pasica,overcast clouds
10,10,Vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort,scattered clouds
11,11,Olinda,BR,75.2,-8.01,-34.86,Hotel 5 Sóis,scattered clouds
12,12,Zeya,RU,56.59,53.75,127.27,Kapital Inn,clear sky
13,13,Punta Arenas,CL,41.0,-53.15,-70.92,Hotel Dreams Del Estrecho,scattered clouds
14,14,New Norfolk,AU,46.0,-42.78,147.06,The Shingles Riverside Cottages,light rain
15,15,Brae,GB,55.4,60.4,-1.35,Busta House Hotel,light rain
16,16,Ribeira Grande,PT,73.04,38.52,-28.7,Quinta da Meia Eira,scattered clouds
17,17,Chuy,UY,47.8,-33.7,-53.46,Nuevo Hotel Plaza,clear sky
18,18,Energetik,RU,53.85,51.74,58.79,Zhemchuzhina,few clouds
19,19,Puerto Ayora,EC,73.4,-0.74,-90.35,Finch Bay Galapagos Hotel,broken clouds
20,20,Esfahan,IR,73.4,32.66,51.68,Abbasi Hotel,clear sky
21,21,Namibe,AO,63.21,-15.2,12.15,Hotel Chik Chik Namibe,clear sky
22,22,Shunyi,CN,71.01,40.12,116.65,Beijing Mingchen Holiday Hotel,scattered clouds
23,23,Khiri Mat,TH,76.23,16.83,99.8,ปั้นดินรีสอร์ท สุโขทัย,overcast clouds
24,24,Kangavar,IR,60.8,34.5,47.97,محمد جوادرضایی,clear sky
25,25,Coquimbo,CL,51.8,-29.95,-71.34,Hotel San Juan,overcast clouds
26,26,Yar-Sale,RU,48.24,66.83,70.83,Yalemd,clear sky
27,27,Maroua,CM,73.94,10.59,14.32,Maroua Palace,moderate rain
28,28,Mataura,NZ,46.0,-46.19,168.86,Ellie's Villa,overcast clouds
29,29,Bouar,CF,66.69,5.93,15.6,Centre Santé de Hermann,overcast clouds
30,30,Hermanus,ZA,57.0,-34.42,19.23,Misty Waves Boutique Hotel,few clouds
31,31,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn,few clouds
32,32,Bengkulu,ID,75.16,-3.8,102.27,Grage Hotel Bengkulu,broken clouds
33,33,Rikitea,PF,66.92,-23.12,-134.97,Pension Maro'i,broken clouds
34,34,Atuona,PF,78.17,-9.8,-139.03,Villa Enata,light rain
35,35,Tasiilaq,GL,48.2,65.61,-37.64,The Red House,scattered clouds
36,36,Rio Gallegos,AR,44.6,-51.62,-69.22,Hotel Santa Cruz,broken clouds
