City Id,City,Country,Lat,Lon,Max Temp,Humdiity,Cloudiness,Wind Speed,Weather description
0,Hobart,AU,-42.88,147.33,46.0,81,75,6.93,broken clouds
1,Bredasdorp,ZA,-34.53,20.04,53.6,87,9,5.82,clear sky
2,Shubarkuduk,KZ,49.14,56.49,61.77,63,100,9.01,overcast clouds
3,Fort Nelson,CA,58.81,-122.7,62.6,77,90,5.82,moderate rain
4,Saldanha,ZA,-33.01,17.94,50.0,87,1,4.7,clear sky
5,Fort Saint James,CA,54.43,-124.25,64.71,44,67,14.88,light rain
6,Leshukonskoye,RU,64.9,45.76,55.85,93,13,3.31,few clouds
7,Albany,US,42.6,-73.97,87.01,42,0,6.71,clear sky
8,Vestmannaeyjar,IS,63.44,-20.27,52.18,75,11,6.89,few clouds
9,Vardo,NO,70.37,31.11,58.28,83,80,20.69,broken clouds
10,Lagoa,PT,39.05,-27.98,72.54,82,69,9.86,broken clouds
11,Dingle,PH,11.0,122.67,76.68,89,100,1.5,overcast clouds
12,Awjilah,LY,29.11,21.29,82.6,37,0,16.53,clear sky
13,Vaini,TO,-21.2,-175.2,77.0,88,40,10.29,scattered clouds
14,Olinda,BR,-8.01,-34.86,75.2,88,40,4.7,scattered clouds
15,Zeya,RU,53.75,127.27,56.59,74,0,3.65,clear sky
16,Saskylakh,RU,71.92,114.08,40.26,71,6,4.54,clear sky
17,Punta Arenas,CL,-53.15,-70.92,41.0,65,40,32.21,scattered clouds
18,New Norfolk,AU,-42.78,147.06,46.0,88,98,3.31,light rain
19,Brae,GB,60.4,-1.35,55.4,93,100,6.93,light rain
20,Ribeira Grande,PT,38.52,-28.7,73.04,80,25,9.71,scattered clouds
21,Chuy,UY,-33.7,-53.46,47.8,68,0,6.58,clear sky
22,Energetik,RU,51.74,58.79,53.85,83,13,6.13,few clouds
23,Bethel,US,41.37,-73.41,89.01,38,1,9.17,clear sky
24,Kieta,PG,-6.22,155.63,83.25,70,100,5.1,light rain
25,Avera,US,33.19,-82.53,80.6,88,90,5.82,overcast clouds
26,Puerto Ayora,EC,-0.74,-90.35,73.4,64,84,18.34,broken clouds
27,Esfahan,IR,32.66,51.68,73.4,15,0,9.17,clear sky
28,Namibe,AO,-15.2,12.15,63.21,83,4,3.8,clear sky
29,Aguimes,ES,27.91,-15.45,86.0,35,0,25.28,clear sky
30,Shunyi,CN,40.12,116.65,71.01,93,33,2.24,scattered clouds
31,Khiri Mat,TH,16.83,99.8,76.23,90,100,1.83,overcast clouds
32,Kangavar,IR,34.5,47.97,60.8,25,0,2.24,clear sky
33,Coquimbo,CL,-29.95,-71.34,51.8,87,90,9.17,overcast clouds
34,Yar-Sale,RU,66.83,70.83,48.24,92,0,9.69,clear sky
35,Gwadar,PK,25.12,62.33,82.74,83,96,6.04,overcast clouds
36,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds
37,Maroua,CM,10.59,14.32,73.94,94,100,0.81,moderate rain
38,Mataura,NZ,-46.19,168.86,46.0,98,98,3.0,overcast clouds
39,Nouakchott,MR,18.09,-15.98,84.2,83,40,18.34,scattered clouds
40,Bouar,CF,5.93,15.6,66.69,97,100,2.57,overcast clouds
41,Pierre,US,44.37,-100.35,99.0,28,1,3.36,clear sky
42,Hermanus,ZA,-34.42,19.23,57.0,86,17,4.0,few clouds
43,Atar,MR,20.52,-13.05,101.17,18,72,2.95,broken clouds
44,Avarua,CK,-21.21,-159.78,77.0,73,11,16.11,few clouds
45,Bengkulu,ID,-3.8,102.27,75.16,87,64,3.96,broken clouds
46,Rikitea,PF,-23.12,-134.97,66.92,72,84,19.17,broken clouds
47,Hit,IQ,33.64,42.83,84.54,26,0,9.24,clear sky
48,Atuona,PF,-9.8,-139.03,78.17,79,48,18.57,light rain
49,Tasiilaq,GL,65.61,-37.64,48.2,64,47,10.29,scattered clouds
50,Rio Gallegos,AR,-51.62,-69.22,44.6,65,75,24.16,broken clouds
51,Sitka,US,57.05,-135.33,60.8,77,40,5.82,scattered clouds
52,Mount Gambier,AU,-37.83,140.77,42.8,93,75,6.93,broken clouds
53,Kapaa,US,22.08,-159.32,86.0,62,20,13.87,few clouds
54,Lebu,CL,-37.62,-73.65,50.0,84,0,9.28,clear sky
55,Sobolevo,RU,54.43,31.9,55.18,89,66,5.35,broken clouds
56,Qui Nhon,VN,13.77,109.23,78.6,80,72,4.99,broken clouds
57,Khatanga,RU,71.97,102.5,49.1,73,0,7.14,clear sky
58,Kuopio,FI,62.89,27.68,62.6,93,90,12.75,light intensity shower rain
59,Waingapu,ID,-9.66,120.26,72.23,78,29,6.46,scattered clouds
60,Henstedt-Ulzburg,DE,53.78,10.0,62.01,93,31,9.17,scattered clouds
61,Barrow,US,71.29,-156.79,42.8,87,90,23.04,overcast clouds
62,Necochea,AR,-38.55,-58.74,53.01,52,0,8.99,clear sky
63,Hilo,US,19.73,-155.09,84.2,66,90,6.93,overcast clouds
64,Tiksi,RU,71.69,128.87,40.46,91,100,3.8,light rain
65,Richards Bay,ZA,-28.78,32.04,65.08,68,0,12.68,clear sky
66,Pacific Grove,US,36.62,-121.92,80.01,60,75,6.93,haze
67,Roald,NO,62.58,6.13,59.0,93,100,16.11,moderate rain
68,Alta Floresta,BR,-9.88,-56.09,83.17,28,1,2.82,clear sky
69,Butaritari,KI,3.07,172.79,83.03,63,100,7.07,overcast clouds
70,Bluff,NZ,-46.6,168.33,46.0,98,100,1.99,overcast clouds
71,Ushuaia,AR,-54.8,-68.3,44.6,56,40,17.22,shower rain
72,Hasaki,JP,35.73,140.83,77.0,94,75,10.29,thunderstorm with heavy rain
73,Busselton,AU,-33.65,115.33,48.99,87,38,9.66,scattered clouds
74,Makakilo City,US,21.35,-158.09,89.6,48,75,5.82,broken clouds
75,Lucapa,AO,-8.42,20.74,73.65,52,51,2.53,broken clouds
76,Talnakh,RU,69.49,88.4,57.2,67,51,11.18,broken clouds
77,Puerto Leguizamo,CO,-0.19,-74.78,77.09,73,84,3.69,broken clouds
78,Rawson,AR,-43.3,-65.1,58.23,36,0,2.01,clear sky
79,Afua,BR,-0.16,-50.39,78.31,86,36,3.69,moderate rain
80,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,11.41,scattered clouds
81,Verkhnyaya Inta,RU,65.98,60.31,43.11,95,21,3.65,few clouds
82,Fare,PF,-16.7,-151.02,77.13,77,11,19.89,few clouds
83,Jamestown,US,42.1,-79.24,82.0,51,20,8.05,few clouds
84,Arraial Do Cabo,BR,-22.97,-42.03,66.2,68,75,11.41,broken clouds
85,Norman Wells,CA,65.28,-126.83,68.0,56,40,13.87,scattered clouds
86,Tobane,BW,-21.95,27.9,51.93,75,2,5.48,clear sky
87,Gwanda,ZW,-20.93,29.0,50.79,80,0,5.95,clear sky
88,Impfondo,CG,1.64,18.07,72.03,96,100,0.72,light rain
89,Ponta Do Sol,PT,32.67,-17.1,75.2,69,40,14.99,scattered clouds
90,Bathsheba,BB,13.22,-59.52,86.0,70,20,11.41,few clouds
91,Kahului,US,20.89,-156.47,86.0,62,40,18.34,scattered clouds
92,Faanui,PF,-16.48,-151.75,77.2,78,6,22.46,clear sky
93,Kirksville,US,40.19,-92.58,88.0,55,20,6.93,few clouds
94,Mandalgovi,MN,45.76,106.27,59.02,51,99,5.41,overcast clouds
95,Nandyal,IN,15.48,78.48,76.89,85,97,6.51,light rain
96,Yulara,AU,-25.24,130.99,48.2,49,0,8.05,clear sky
97,Hearst,CA,49.68,-83.67,75.74,43,99,5.19,overcast clouds
98,Macusani,PE,-14.08,-70.43,44.29,65,57,6.13,light rain
99,Vila Franca Do Campo,PT,37.72,-25.43,73.4,83,20,3.36,few clouds
100,Nikolskoye,RU,59.7,30.79,64.4,68,97,6.71,overcast clouds
