City_ID,name,country,Date,Lat,lng,Max Temp,Humidity,Cloudiness,wind_speed
0,Balabac,PH,2020-08-20 06:09:14,7.99,117.06,86.29,66,75,6.93
1,Busselton,AU,2020-08-20 06:09:14,-33.65,115.33,55.0,79,58,3.0
2,Punta Arenas,CL,2020-08-20 06:05:03,-53.15,-70.92,44.6,75,68,23.04
3,Dehlorān,IR,2020-08-20 06:09:15,32.69,47.27,100.31,9,0,5.77
4,Tiksi,RU,2020-08-20 06:11:15,71.69,128.87,39.45,88,100,5.84
5,Mount Isa,AU,2020-08-20 06:11:16,-20.73,139.5,80.6,10,4,10.29
6,Port Elizabeth,ZA,2020-08-20 06:11:16,-33.92,25.57,50.0,66,14,5.82
7,Coyhaique,CL,2020-08-20 06:11:17,-45.58,-72.07,33.8,86,86,3.36
8,Port Alfred,ZA,2020-08-20 06:11:17,-33.59,26.89,55.85,47,14,14.36
9,Saskylakh,RU,2020-08-20 06:11:18,71.92,114.08,48.11,54,99,3.98
10,Salalah,OM,2020-08-20 06:11:18,17.02,54.09,77.0,100,90,4.7
11,Bredasdorp,ZA,2020-08-20 06:11:19,-34.53,20.04,55.4,76,85,6.93
12,Nokaneng,BW,2020-08-20 06:11:19,-19.67,22.27,43.48,44,0,8.12
13,Jamestown,US,2020-08-20 06:08:43,42.1,-79.24,52.0,93,1,4.7
14,Bluff,NZ,2020-08-20 06:10:30,-46.6,168.33,48.0,95,100,7.0
15,Todos Santos,MX,2020-08-20 06:11:20,23.45,-110.22,81.0,76,100,5.01
16,Vaini,TO,2020-08-20 06:11:20,-21.2,-175.2,73.4,88,75,4.7
17,Bull Savanna,JM,2020-08-20 06:11:21,17.89,-77.59,77.85,83,44,5.75
18,Hilo,US,2020-08-20 06:07:13,19.73,-155.09,75.2,83,90,5.82
19,Toguchin,RU,2020-08-20 06:11:22,55.24,84.39,68.04,55,7,15.75
20,Los Llanos de Aridane,ES,2020-08-20 06:11:22,28.66,-17.92,68.0,88,0,6.93
21,Umluj,SA,2020-08-20 06:11:23,25.02,37.27,92.61,39,33,8.37
22,Ushuaia,AR,2020-08-20 06:10:19,-54.8,-68.3,39.2,93,75,23.04
23,Joshīmath,IN,2020-08-20 06:11:23,30.57,79.57,67.26,61,100,2.04
24,Arraial do Cabo,BR,2020-08-20 06:10:13,-22.97,-42.03,71.22,88,5,22.64
25,Lüderitz,NA,2020-08-20 06:11:24,-26.65,15.16,57.65,34,0,8.01
26,Osakarovka,KZ,2020-08-20 06:11:25,50.56,72.57,63.37,41,71,18.72
27,Saint Paul Harbor,US,2020-08-20 06:11:25,57.79,-152.41,57.2,71,1,3.36
28,Mar del Plata,AR,2020-08-20 06:07:45,-38.0,-57.56,37.99,93,20,4.7
29,Mahébourg,MU,2020-08-20 06:11:26,-20.41,57.7,75.2,60,20,12.75
30,Kapaa,US,2020-08-20 06:11:26,22.08,-159.32,80.6,74,40,17.22
31,Kristinestad,FI,2020-08-20 06:11:26,62.27,21.38,66.81,76,0,13.22
32,Atuona,PF,2020-08-20 06:11:27,-9.8,-139.03,78.71,78,22,16.28
33,Avarua,CK,2020-08-20 06:08:29,-21.21,-159.78,73.4,83,88,26.4
34,Leningradskiy,RU,2020-08-20 06:11:28,69.38,178.42,53.46,64,98,6.89
35,Rikitea,PF,2020-08-20 06:11:28,-23.12,-134.97,70.27,82,97,20.27
36,Thompson,CA,2020-08-20 06:11:29,55.74,-97.86,64.4,72,75,3.36
37,Pisco,PE,2020-08-20 06:11:30,-13.7,-76.22,59.0,82,40,5.82
38,Albany,US,2020-08-20 06:10:13,42.6,-73.97,59.0,75,2,4.36
39,Mataura,NZ,2020-08-20 06:11:30,-46.19,168.86,46.99,95,99,8.01
40,Provincia di Imperia,IT,2020-08-20 06:11:31,43.97,7.78,73.0,100,5,8.05
41,Chui,UY,2020-08-20 06:11:31,-33.7,-53.46,39.76,76,29,9.82
42,Fügen,AT,2020-08-20 06:11:31,47.35,11.85,63.0,77,98,3.42
43,Khatanga,RU,2020-08-20 06:11:32,71.97,102.5,61.97,44,16,10.56
44,Port Hardy,CA,2020-08-20 06:10:08,50.7,-127.42,59.0,93,90,20.8
45,Fairbanks,US,2020-08-20 06:08:00,64.84,-147.72,66.2,63,90,2.24
46,Qaanaaq,GL,2020-08-20 06:11:33,77.48,-69.36,45.79,85,100,7.78
47,Clyde River,CA,2020-08-20 06:11:33,70.47,-68.59,44.6,93,40,5.82
48,Ostrovnoy,RU,2020-08-20 06:11:34,68.05,39.51,57.13,60,67,12.91
49,Krasnovishersk,RU,2020-08-20 06:11:34,60.41,57.08,56.05,93,100,9.01
50,Butaritari,KI,2020-08-20 06:11:35,3.07,172.79,82.94,77,98,11.88
51,Rocha,UY,2020-08-20 06:11:35,-34.48,-54.33,39.13,75,13,9.82
52,Hobart,AU,2020-08-20 06:08:48,-42.88,147.33,55.4,47,75,17.22
53,Alyangula,AU,2020-08-20 06:11:36,-13.85,136.42,82.4,69,2,8.05
54,Hithadhoo,MV,2020-08-20 06:11:36,-0.6,73.08,83.91,66,87,4.27
55,Tura,IN,2020-08-20 06:11:37,25.52,90.22,75.99,91,98,7.14
56,Oudtshoorn,ZA,2020-08-20 06:11:37,-33.59,22.2,51.8,71,48,5.82
57,Cape Town,ZA,2020-08-20 06:10:09,-33.93,18.42,54.0,76,75,9.17
58,Methóni,GR,2020-08-20 06:11:38,36.82,21.7,81.0,54,0,10.29
59,Plymouth,US,2020-08-20 06:11:26,41.83,-70.83,62.01,93,75,4.59
60,Lebu,CL,2020-08-20 06:11:39,-37.62,-73.65,43.25,73,0,16.46
61,San Angelo,US,2020-08-20 06:11:39,31.46,-100.44,81.0,36,1,6.8
62,Nikolskoye,RU,2020-08-20 06:11:40,59.7,30.79,63.0,77,0,6.71
63,Bathsheba,BB,2020-08-20 06:11:40,13.22,-59.52,80.6,88,75,13.87
64,Dikson,RU,2020-08-20 06:11:41,73.51,80.55,51.19,65,0,17.83
65,Rafaela,AR,2020-08-20 06:11:41,-31.25,-61.49,37.0,37,0,3.0
66,Souillac,MU,2020-08-20 06:11:41,-20.52,57.52,75.2,60,20,12.75
67,Labuhan,ID,2020-08-20 06:11:42,-6.88,112.21,87.01,58,72,10.92
